FileName,dateTime,version,distName,id,actpmA3intrafreqHO,actpmA5interfreqHO,actpmA5intrafreqHO,actpmB2,actpmRSC,actpmrsrpA3interfreqHO,actpmrsrqA3interfreqHO,cfgrsrpbinsize,cfgrsrpmin,cfgrsrqbinsize,cfgrsrqmin
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-563340/LNBTS-563340/PMRNL-1/PMRPQH-1,161463681,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520065/LNBTS-520065/PMRNL-1/PMRPQH-1,1411533,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-532152/LNBTS-532152/PMRNL-1/PMRPQH-1,5378120,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520017/LNBTS-520017/PMRNL-1/PMRPQH-1,157520447,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-562907/LNBTS-562907/PMRNL-1/PMRPQH-1,175694198,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-892537/LNBTS-892537/PMRNL-1/PMRPQH-1,121878980,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-571121/LNBTS-571121/PMRNL-1/PMRPQH-1,177915842,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520031/LNBTS-520031/PMRNL-1/PMRPQH-1,100776071,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520011/LNBTS-520011/PMRNL-1/PMRPQH-1,1637482,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-591895/LNBTS-591895/PMRNL-1/PMRPQH-1,46166716,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-532041/LNBTS-532041/PMRNL-1/PMRPQH-1,187648882,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-538881/LNBTS-538881/PMRNL-1/PMRPQH-1,171851313,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520042/LNBTS-520042/PMRNL-1/PMRPQH-1,168531593,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520066/LNBTS-520066/PMRNL-1/PMRPQH-1,1078250,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520069/LNBTS-520069/PMRNL-1/PMRPQH-1,1089069,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-532013/LNBTS-532013/PMRNL-1/PMRPQH-1,5271464,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R3FSM3_2309_100,PLMN-PLMN/MRBTS-520064/LNBTS-520064/PMRNL-1/PMRPQH-1,1086062,true,false,false,true,true,false,false,3,-140,1.5,-19.5
dump 92.xml,2026-06-22T16:29:21.000+07:00,xL23R1FSM3_2222_100,PLMN-PLMN/MRBTS-560135/LNBTS-560135/PMRNL-1/PMRPQH-1,116103164,true,false,false,true,true,false,false,3,-140,1.5,-19.5
